Iteration,TransferIn_ms,Inference_ms,TransferOut_ms,Total_ms
321,0.088379,3.536449,0.088530,3.713358
322,0.088289,3.537731,0.088089,3.714109
323,0.088350,4.039295,0.132444,4.260089
324,0.094161,3.560264,0.091856,3.746281
325,0.088570,3.614488,0.088791,3.791849
326,0.088520,3.580944,0.088370,3.757834
327,0.088420,5.711128,0.163303,5.962851
328,0.129899,3.540827,0.111115,3.781841
329,0.094581,4.114069,0.088941,4.297591
330,0.089072,3.564452,0.088840,3.742364
331,0.088801,3.816136,0.106995,4.011932
332,0.092548,3.521499,0.088350,3.702397
333,0.088340,3.556587,0.088420,3.733347
334,0.088259,3.635238,0.089092,3.812589
335,0.088530,4.004106,0.138657,4.231293
336,0.121274,3.597346,0.092608,3.811228
337,0.092127,3.558250,0.092177,3.742554
338,0.089051,3.548301,0.088871,3.726223
339,0.088140,3.913322,0.092989,4.094451
340,0.094482,3.553040,0.089522,3.737044
341,0.088370,3.597576,0.091906,3.777852
342,0.091646,3.662480,0.088561,3.842687
343,0.088430,3.792270,0.091376,3.972076
344,0.254208,3.554123,0.095022,3.903353
345,0.089542,3.595402,0.089332,3.774276
346,0.088259,3.539514,0.090234,3.718007
347,0.452610,3.555595,0.086857,4.095062
348,0.085735,3.714471,0.088369,3.888575
349,0.086135,3.549173,0.089081,3.724389
350,0.086416,3.744559,0.085414,3.916389
351,0.255750,3.615252,0.089362,3.960364
352,0.105703,3.673872,0.095514,3.875089
353,0.085775,3.657792,0.090343,3.833910
354,0.088700,3.543232,0.088981,3.720913
355,0.152894,3.635619,0.093861,3.882374
356,0.091887,3.555184,0.533744,4.180815
357,0.131164,3.748666,0.130460,4.010290
358,0.088660,3.826887,0.167651,4.083198
359,0.107186,3.645559,0.092278,3.845023
360,0.088870,3.564413,0.092046,3.745329
361,0.092337,3.763345,0.097517,3.953199
362,0.088740,4.121171,0.142466,4.352377
363,0.097067,3.657521,0.090163,3.844751
364,0.088270,3.543862,0.088881,3.721013
365,0.088800,3.840894,0.090915,4.020609
366,0.088791,5.683626,0.092978,5.865395
367,0.091456,3.549874,0.088230,3.729560
368,0.088370,3.586986,0.088861,3.764217
369,0.088481,3.733417,0.095133,3.917031
370,0.088781,3.959241,0.088771,4.136793
371,0.088070,3.584981,0.091776,3.764827
372,0.091296,3.589820,0.088531,3.769647
373,0.088380,3.683732,0.092447,3.864559
374,0.088801,3.815192,0.097548,4.001541
375,0.094282,3.676128,0.092077,3.862487
376,0.088661,3.544935,0.091616,3.725212
377,0.090824,3.652482,0.108168,3.851474
378,0.088169,4.063199,0.109413,4.260781
379,0.090645,4.057379,0.175157,4.323181
380,0.088690,3.612325,0.088129,3.789144
381,0.088290,3.697167,0.086466,3.871923
382,0.088290,4.579151,0.106957,4.774398
383,0.091977,4.053612,0.092047,4.237636
384,0.091535,3.544334,0.088610,3.724479
385,0.105754,3.717446,0.089692,3.912892
386,0.088170,5.140452,0.091756,5.320378
387,0.088861,3.689493,0.096375,3.874729
388,0.092067,3.523653,0.088571,3.704291
389,0.088420,6.768580,0.135079,6.992079
390,0.123528,3.719531,0.091837,3.934896
391,0.088490,3.618276,0.091947,3.798713
392,0.091926,3.532551,0.089071,3.713548
393,0.088370,5.385051,0.112688,5.586109
394,0.091165,3.550215,0.088430,3.729810
395,0.088951,3.582577,0.089332,3.760860
396,0.088180,3.641800,0.105523,3.835503
397,0.101696,3.877824,0.104902,4.084422
398,0.091937,3.531529,0.088450,3.711916
399,0.088740,3.560765,0.089152,3.738657
400,0.088340,3.680936,0.098159,3.867435
401,0.092979,3.872374,0.098549,4.063902
402,0.088971,3.646601,0.093469,3.829041
403,0.092598,3.553361,0.088570,3.734529
404,0.089883,4.554083,0.134159,4.778125
405,0.093509,3.764757,0.097097,3.955363
406,0.088681,3.596313,0.093279,3.778273
407,0.091846,3.608166,0.088631,3.788643
408,0.087198,3.980401,0.140220,4.207819
409,0.090514,3.752564,0.089642,3.932720
410,0.088230,3.596404,0.092668,3.777302
411,0.090073,3.541408,0.091676,3.723157
412,0.091586,5.353570,0.149759,5.594915
413,0.138736,4.487416,0.121243,4.747395
414,0.091366,3.579200,0.094963,3.765529
415,0.092448,3.685233,0.168425,3.946106
416,0.106535,3.747464,0.096766,3.950765
417,0.091837,3.683972,0.098188,3.873997
418,0.088690,3.549324,0.090864,3.728878
419,0.088890,3.617094,0.064864,3.770848
