Iteration,Transfer_ms,Inference_ms,Total_ms
499,0.000231,3.387642,3.387873
500,0.000050,3.580964,3.581014
501,0.000070,3.400347,3.400417
502,0.000050,3.314271,3.314321
503,0.000050,3.539905,3.539955
504,0.000050,3.393213,3.393263
505,0.000060,3.750080,3.750140
506,0.000201,3.856183,3.856384
507,0.000230,10.784320,10.784550
508,0.000220,3.508605,3.508825
509,0.000210,3.294514,3.294724
510,0.000060,3.455673,3.455733
511,0.000070,3.553221,3.553291
512,0.000060,3.927209,3.927269
513,0.000220,3.768965,3.769185
514,0.000080,3.785888,3.785968
515,0.000230,3.575503,3.575733
516,0.000251,3.832227,3.832478
517,0.000201,3.296717,3.296918
518,0.000060,3.401439,3.401499
519,0.000071,3.310684,3.310755
520,0.000050,3.869108,3.869158
521,0.000061,3.638213,3.638274
522,0.000210,3.309492,3.309702
523,0.000050,3.424854,3.424904
524,0.000060,3.405075,3.405135
525,0.000070,4.993860,4.993930
526,0.000191,3.386730,3.386921
527,0.000060,3.311185,3.311245
528,0.000060,3.340251,3.340311
529,0.000091,3.565023,3.565114
530,0.000061,3.346222,3.346283
531,0.000051,3.389265,3.389316
532,0.000060,3.337145,3.337205
533,0.000060,3.426867,3.426927
534,0.000221,3.390708,3.390929
535,0.000220,3.387402,3.387622
536,0.000050,3.333759,3.333809
537,0.000060,3.307849,3.307909
538,0.000060,3.475832,3.475892
539,0.000050,3.362193,3.362243
540,0.000060,3.427589,3.427649
541,0.000050,3.360069,3.360119
542,0.000060,3.323559,3.323619
543,0.000060,3.620049,3.620109
544,0.000200,3.460933,3.461133
545,0.000060,3.288972,3.289032
546,0.000060,3.346092,3.346152
547,0.000060,3.663774,3.663834
548,0.000070,3.595923,3.595993
549,0.000050,3.431236,3.431286
550,0.000050,3.427268,3.427318
551,0.000050,3.323599,3.323649
552,0.000050,3.469950,3.470000
553,0.000060,3.598308,3.598368
554,0.000200,3.351814,3.352014
555,0.000050,3.332005,3.332055
556,0.000060,4.444563,4.444623
557,0.000281,4.165748,4.166029
558,0.000071,3.598898,3.598969
559,0.000060,3.333137,3.333197
560,0.000060,3.354007,3.354067
561,0.000080,3.359108,3.359188
562,0.000050,3.379627,3.379677
563,0.000070,3.598749,3.598819
564,0.000050,4.526351,4.526401
565,0.000061,4.531130,4.531191
566,0.000321,3.637943,3.638264
567,0.000070,3.592877,3.592947
568,0.000060,3.337235,3.337295
569,0.000050,4.243077,4.243127
570,0.000220,3.365379,3.365599
571,0.000201,3.500358,3.500559
572,0.000070,3.482224,3.482294
573,0.000060,3.648724,3.648784
574,0.000210,3.337536,3.337746
575,0.000060,3.299663,3.299723
576,0.000050,3.589330,3.589380
577,0.000060,3.383625,3.383685
578,0.000060,3.348347,3.348407
579,0.000060,3.299353,3.299413
580,0.000050,3.355200,3.355250
581,0.000051,3.626040,3.626091
582,0.000050,3.458689,3.458739
583,0.000210,3.327607,3.327817
584,0.000061,3.327326,3.327387
585,0.000050,3.321846,3.321896
586,0.000060,3.675305,3.675365
587,0.000060,3.544474,3.544534
588,0.000191,3.301486,3.301677
589,0.000060,3.390337,3.390397
590,0.000060,3.349809,3.349869
591,0.000070,4.298082,4.298152
592,0.000210,3.371682,3.371892
593,0.000060,3.302318,3.302378
594,0.000060,3.312037,3.312097
595,0.000050,3.563971,3.564021
596,0.000070,4.155007,4.155077
597,0.000211,3.353456,3.353667
598,0.000060,3.315394,3.315454
599,0.000060,3.418552,3.418612
600,0.000060,4.293313,4.293373
601,0.000061,3.334339,3.334400
602,0.000060,3.285876,3.285936
603,0.000061,3.358997,3.359058
604,0.000050,3.342525,3.342575
605,0.000071,3.443279,3.443350
606,0.000061,3.357264,3.357325
607,0.000050,3.331364,3.331414
608,0.000060,3.555595,3.555655
609,0.000060,3.428311,3.428371
610,0.000221,3.399274,3.399495
611,0.000060,3.287259,3.287319
612,0.000060,3.373625,3.373685
613,0.000050,3.309643,3.309693
614,0.000050,3.553752,3.553802
615,0.000050,3.395627,3.395677
616,0.000050,3.314271,3.314321
617,0.000060,3.405887,3.405947
618,0.000061,3.357474,3.357535
619,0.000050,3.503946,3.503996
620,0.000200,3.379577,3.379777
621,0.000060,3.396439,3.396499
622,0.000060,3.308580,3.308640
623,0.000051,3.443570,3.443621
624,0.000060,3.612645,3.612705
625,0.000060,3.457307,3.457367
626,0.000060,3.366051,3.366111
627,0.000070,3.362374,3.362444
628,0.000050,5.799549,5.799599
629,0.000281,3.971735,3.972016
630,0.000070,3.963880,3.963950
631,0.000080,5.307120,5.307200
632,0.000171,3.805255,3.805426
633,0.000070,3.434282,3.434352
634,0.000060,3.399786,3.399846
635,0.000050,3.912573,3.912623
636,0.000120,4.554105,4.554225
637,0.000060,3.360991,3.361051
638,0.000051,3.324701,3.324752
639,0.000050,3.482022,3.482072
640,0.000060,3.437758,3.437818
641,0.000060,3.440173,3.440233
642,0.000141,3.420806,3.420947
643,0.000060,3.311546,3.311606
644,0.000060,3.357014,3.357074
645,0.000060,3.439141,3.439201
646,0.000050,3.377423,3.377473
647,0.000050,3.324180,3.324230
648,0.000060,3.372113,3.372173
649,0.000060,3.504777,3.504837
650,0.000210,3.408372,3.408582
651,0.000060,3.416839,3.416899
652,0.000190,3.505339,3.505529
653,0.000210,3.420355,3.420565
654,0.000050,3.334259,3.334309
655,0.000060,3.340943,3.341003
656,0.000060,3.362714,3.362774
657,0.000060,3.346803,3.346863
658,0.000060,3.483477,3.483537
659,0.000060,3.385709,3.385769
660,0.000060,3.281819,3.281879
661,0.000060,3.387131,3.387191
662,0.000210,3.390708,3.390918
663,0.000060,3.672601,3.672661
664,0.000060,3.325694,3.325754
665,0.000060,3.381952,3.382012
666,0.000060,3.509947,3.510007
667,0.000210,4.635760,4.635970
668,0.000280,3.723929,3.724209
669,0.000051,3.297018,3.297069
670,0.000050,3.384897,3.384947
671,0.000060,3.577177,3.577237
672,0.000080,3.406088,3.406168
673,0.000050,3.292159,3.292209
674,0.000060,3.336964,3.337024
675,0.000050,3.433891,3.433941
676,0.000070,3.594520,3.594590
677,0.000211,3.369026,3.369237
678,0.000050,3.330954,3.331004
679,0.000060,3.308089,3.308149
680,0.000060,3.494548,3.494608
681,0.000061,3.526979,3.527040
682,0.000050,3.364157,3.364207
683,0.000060,3.332466,3.332526
684,0.000050,3.360941,3.360991
685,0.000061,4.458039,4.458100
686,0.000050,3.348226,3.348276
687,0.000050,3.307949,3.307999
688,0.000050,3.368315,3.368365
689,0.000070,3.330492,3.330562
690,0.000060,3.703569,3.703629
691,0.000060,3.369166,3.369226
692,0.000060,3.294193,3.294253
693,0.000050,3.423360,3.423410
694,0.000050,3.664966,3.665016
695,0.000151,4.081597,4.081748
696,0.000050,3.364017,3.364067
697,0.000060,3.367794,3.367854
698,0.000060,3.346844,3.346904
699,0.000050,4.389257,4.389307
700,0.000210,3.344569,3.344779
701,0.000050,3.432208,3.432258
702,0.000060,3.393042,3.393102
703,0.000061,3.597304,3.597365
704,0.000060,3.352716,3.352776
705,0.000061,3.412459,3.412520
706,0.000050,3.332877,3.332927
707,0.000060,3.287079,3.287139
708,0.000050,3.562919,3.562969
709,0.000050,3.337245,3.337295
710,0.000050,3.383935,3.383985
711,0.000051,3.376641,3.376692
712,0.000060,3.459931,3.459991
