Iteration,TransferIn_ms,Inference_ms,TransferOut_ms,Total_ms
504,0.097037,3.666708,0.089502,3.853247
505,0.088430,3.589250,0.088920,3.766600
506,0.086877,3.582486,0.091827,3.761190
507,0.091145,3.722235,0.102657,3.916037
508,0.089452,3.993506,0.100494,4.183452
509,0.088631,3.636380,0.089532,3.814543
510,0.088260,3.578498,0.089091,3.755849
511,0.088751,3.754767,0.089913,3.933431
512,0.088541,3.758703,0.164769,4.012013
513,0.095955,3.587476,0.088721,3.772152
514,0.087087,3.609328,0.088630,3.785045
515,0.088150,3.571806,0.198742,3.858698
516,0.268114,5.037523,0.122307,5.427944
517,0.091476,4.067809,0.091997,4.251282
518,0.091546,3.559864,0.088630,3.740040
519,0.088430,3.743396,0.089943,3.921769
520,0.088169,5.222690,0.094482,5.405341
521,0.088951,3.595180,0.092037,3.776168
522,0.088821,3.599388,0.089212,3.777421
523,0.196167,3.766370,0.101705,4.064242
524,0.108458,3.555084,0.089081,3.752623
525,0.088760,3.582968,0.105583,3.777311
526,0.088570,3.609659,0.092648,3.790877
527,0.090995,3.609819,0.167961,3.868775
528,0.122497,3.796859,0.098369,4.017725
529,0.088790,3.660397,0.090373,3.839560
530,0.088611,3.665626,0.089362,3.843599
531,0.088299,3.686026,0.089462,3.863787
532,0.150126,3.948711,0.127988,4.226825
533,0.094141,4.059503,0.088490,4.242134
534,0.088090,3.652571,0.092578,3.833239
535,0.088460,3.638423,0.092749,3.819632
536,0.093589,3.782521,0.103098,3.979208
537,0.088671,3.553781,0.088611,3.731063
538,0.088220,3.682669,0.088270,3.859159
539,0.088089,4.347776,0.159978,4.595843
540,0.132095,3.695905,0.095624,3.923624
541,0.088741,3.654945,0.092418,3.836104
542,0.088480,3.522481,0.088661,3.699622
543,0.088380,5.100032,0.134981,5.323393
544,0.090324,4.767664,0.095053,4.953041
545,0.088611,3.723056,0.092979,3.904646
546,0.091996,4.378916,0.149278,4.620190
547,0.092217,3.524004,0.088830,3.705051
548,0.090083,3.760538,0.150931,4.001552
549,0.088480,3.624187,0.089342,3.802009
550,0.088600,3.683480,0.163393,3.935473
551,0.148758,3.659975,0.098159,3.906892
552,0.091736,3.856373,0.105132,4.053241
553,0.088600,3.702397,0.090544,3.881541
554,0.088229,4.066175,0.213901,4.368305
555,0.136061,3.614570,0.088651,3.839282
556,0.088470,3.779466,0.089702,3.957638
557,0.088410,3.533412,0.097898,3.719720
558,0.091846,3.930105,0.121011,4.142962
559,0.110373,3.641119,0.089762,3.841254
560,0.088550,3.664494,0.088871,3.841915
561,0.088560,3.819092,0.097377,4.005029
562,0.095995,4.146980,0.145060,4.388035
563,0.094011,3.593928,0.088911,3.776850
564,0.088119,3.595742,0.097577,3.781438
565,0.088440,3.718678,0.094071,3.901189
566,0.092277,3.733116,0.126542,3.951935
567,0.109401,3.736733,0.098059,3.944193
568,0.091556,3.554342,0.088521,3.734419
569,0.087879,3.759397,0.128557,3.975833
570,0.088600,3.677720,0.105102,3.871422
571,0.106965,3.606753,0.088560,3.802278
572,0.088620,3.525116,0.091326,3.705062
573,0.091225,3.785867,0.090184,3.967276
574,0.091607,3.727064,0.113478,3.932149
575,0.089302,3.692908,0.089452,3.871662
576,0.088830,3.627143,0.088600,3.804573
577,0.088260,3.532380,0.091346,3.711986
578,0.092207,4.295936,0.129549,4.517692
579,0.111045,3.597366,0.088860,3.797271
580,0.088360,3.555795,0.088400,3.732555
581,0.088490,3.599530,0.088830,3.776850
582,0.088019,5.257936,0.174748,5.520703
583,0.094101,3.569422,0.088550,3.752073
584,0.094742,3.581595,0.088991,3.765328
585,0.118508,3.575583,0.088821,3.782912
586,0.088360,4.539184,0.141493,4.769037
587,0.092899,3.558971,0.089081,3.740951
588,0.088640,3.596143,0.091416,3.776199
589,0.091526,3.557739,0.088600,3.737865
590,0.104862,3.850961,0.177663,4.133486
591,0.092187,3.597646,0.089081,3.778914
592,0.088791,3.546057,0.088680,3.723528
593,0.087939,3.572447,0.088661,3.749047
594,0.088410,5.056940,0.163044,5.308394
595,0.093349,4.079031,0.092498,4.264878
596,0.091536,3.645838,0.088640,3.826014
597,0.088611,3.666006,0.089322,3.843939
598,0.154215,3.858508,0.094652,4.107375
599,0.088430,3.617424,0.089873,3.795727
600,0.088340,3.567437,0.092037,3.747814
601,0.091426,3.596874,0.088510,3.776810
602,0.088120,5.578253,0.109700,5.776073
603,0.088239,3.580363,0.090013,3.758615
604,0.088640,3.606503,0.092167,3.787310
605,0.091426,3.907040,0.112467,4.110933
606,0.088831,3.786529,0.105793,3.981153
607,0.088240,3.601112,0.094682,3.784034
608,0.089301,3.578148,0.085955,3.753404
609,0.088390,3.674974,0.106174,3.869538
610,0.096736,3.612193,0.091917,3.800846
611,0.091476,3.771119,0.098700,3.961295
612,0.089181,3.691606,0.112517,3.893304
613,0.092267,3.721815,0.097908,3.911990
614,0.088991,3.566266,0.089311,3.744568
615,0.088720,3.752153,0.094432,3.935305
616,0.088550,3.607805,0.092017,3.788372
617,0.091476,3.701043,0.135723,3.928242
618,0.092668,3.580143,0.092447,3.765258
619,0.094893,3.698449,0.092889,3.886231
620,0.090584,3.615780,0.103549,3.809913
621,0.092347,4.604009,0.134700,4.831056
622,0.095323,3.540105,0.095984,3.731412
623,0.090975,3.753034,0.101755,3.945764
624,0.091997,3.543592,0.098489,3.734078
625,0.088761,4.584621,0.112829,4.786211
626,0.094341,4.019537,0.095674,4.209552
627,0.088840,3.781920,0.089663,3.960423
628,0.088450,3.625319,0.092638,3.806407
